Asbtractor User Name	DB_ID	A2 Authors_Primary	A3 Title Primary	A4 Periodical Full	A4 Periodical Abbrev	A5 Pub Year	A6 Volume	A7 Issue	A8 Start Page	A8 Other Pages	A9 Abstract
rzshah	625	"Troiano, P"	Pressure-reducing efficacy and tolerability of betaxolol in ionic solution	 	Acta ophthalmologica Scandinavica.Supplement	1997	 	224	18	20	 
rzshah	596	"Camras,C. B.;Sheu,W. P.;United States Latanoprost-Brimonidine Study Group"	Latanoprost or brimonidine as treatment for elevated intraocular pressure: multicenter trial in the united states	Journal of glaucoma	J.Glaucoma	2005	14	2	161	167	"PURPOSE: To compare the efficacy and tolerability of latanoprost or brimonidine in patients with elevated intraocular pressure (IOP). MATERIALS AND METHODS: This prospective, randomized, masked-evaluator, parallel-group, multicenter study in the United States included patients with primary open angle glaucoma or ocular hypertension. Patients received latanoprost 0.005% once daily (8:00 AM; n = 152) or brimonidine tartrate 0.2% twice daily (8:00 AM and 8:00 PM; n = 151). Patients underwent evaluation at screening, baseline (randomization), and after 0.5, 3, and 6 months of treatment. IOP was measured at 8:00 AM, 10:00 AM, noon, and 4:00 PM at baseline and the months 3 and 6 visits, and at 8:00 AM only at week 2. The main outcome measure was the difference in diurnal IOP change from baseline to month 6 between treatment groups. Adverse events were recorded at each visit. RESULTS: Baseline mean diurnal IOP levels were similar between groups. At month 6, the adjusted mean (+/- SEM) diurnal IOP reduction was 5.7 +/- 0.3 mm Hg in the latanoprost group and 3.1 +/- 0.3 mm Hg in patients receiving brimonidine (P < 0.001). The mean difference in diurnal IOP reduction was 2.5 +/- 0.3 mm Hg (95% CI: 1.9, 3.2; P < 0.001). Five times more patients receiving brimonidine than latanoprost were withdrawn from the study due to adverse events. CONCLUSION: Latanoprost instilled once daily is more effective and better tolerated than brimonidine administered twice daily for the treatment of patients with glaucoma or ocular hypertension. During therapy, the range of daily fluctuation of IOP is less for latanoprost compared with brimonidine. CAS Registry/EC Number/Name of Substance 0 (Antihypertensive Agents). 0 (Prostaglandins F, Synthetic). 0 (Quinoxalines). 130209-82-4 (latanoprost). 59803-98-4 (brimonidine)."
rzshah	6492	"Kass,M. A.;Mandell,A. I.;Goldberg,I.;Paine,J. M.;Becker,B."	Dipivefrin and epinephrine treatment of elevated intraocular pressure: a comparative study	Archives of Ophthalmology	Arch.Ophthalmol.	1979	97	10	1865	1866	"Every 12 hours 0.1% dipivefrin was administered to one eye and 2% epinephrine hydrochloride was administered to the fellow eye of 42 patients with primary open-angle glaucoma or ocular hypertension in a randomized, double-masked study lasting three months. Dipivefrin produced similar percent reductions in intraocular pressure (18.6%) to epinephrine (21.0%), as well as similar increases in outflow facility and pupil diameter. A significantly lower incidence of burning and stinging after drug instillation was noted with dipivefrin therapy. This study supported the contention that dipivefrin is an effective and safe alternative to epinephrine therapy for the reduction of elevated intraocular pressure."
rzshah	2121	"Koz,O. G.;Ozsoy,A.;Yarangumeli,A.;Kose,S. K.;Kural,G."	"Comparison of the effects of travoprost, latanoprost and bimatoprost on ocular circulation: a 6-month clinical trial"	Acta Ophthalmologica Scandinavica	Acta Ophthalmol.Scand.	2007	85	8	838	843	"PURPOSE: To study the effect of three prostaglandin F(2)-alpha (PG) analogues on retrobulbar blood flow velocity in previously untreated patients with primary open-angle glaucoma (POAG) or ocular hypertension (OHT), using colour Doppler ultrasound. METHODS: Sixty newly diagnosed patients with POAG or OHT were randomly assigned to travoprost 0.004% (n = 12 with POAG, n = 8 with OHT), latanoprost 0.005% (n = 11 with POAG, n = 9 with OHT) and bimatoprost 0.03% (n = 13 with POAG, n = 7 with OHT) treatment groups in a double-masked fashion. At baseline examination, blood pressure, heart rate and intraocular pressure (IOP) were recorded. Peak-systolic and end-diastolic velocities were measured in the ophthalmic (OA), central retinal (CRA) and temporal short posterior ciliary arteries (PCA). The resistive index (RI) and ocular perfusion pressure (OPP) were determined for each treatment group. After a treatment period of 6-months, all procedures were repeated. RESULTS: There were no significant differences in age (53 +/- 14 years in the travoprost group, 51 +/- 14 years in the latanoprost group, 53 +/- 11 years in the bimatoprost group), gender (11 men, nine women; 11 men, nine women; 13 men, seven women, by group, respectively), or clinical diagnosis (POAG or OHT) among treatment groups (p > 0.05). A significant decrease in IOP (baseline: 26.4 +/- 3.3 mmHg, 26.8 +/- 1.3 mmHg, 25.8 +/- 1.8 mmHg, respectively; month 6: 20.9 +/- 1.9 mmHg, 20.8 +/- 2.4 mmHg, 18.3 +/- 1.2 mmHg, respectively; p  0.05). CONCLUSIONS: Our results suggest that the three PG analogues significantly reduce IOP and increase OPP in patients with POAG or OHT. Topical travoprost and latanoprost significantly reduce the RI of the CRA and OA, respectively. We were unable to determine any effect of topical bimatoprost on ocular haemodynamics. CAS Registry/EC Number/Name of Substance 0 (Amides). 0 (Lipids). 0 (Prostaglandins F, Synthetic). 0 (bimatoprost). 130209-82-4 (latanoprost). 157283-68-6 (travoprost). 40665-92-7 (Cloprostenol)."
rzshah	1741	"Hutzelmann,J.;Owens,S.;Shedden,A.;Adamsons,I.;Vargas,E."	Comparison of the safety and efficacy of the fixed combination of dorzolamide/timolol and the concomitant administration of dorzolamide and timolol: a clinical equivalence study. International clinical equivalence study group	British Journal of Ophthalmology	Br.J.Ophthalmol.	1998	82	11	1249	1253	"AIMS: To compare the tolerability and efficacy of a fixed combination solution of dorzolamide/timolol (Cosopt), administered twice daily with the concomitant administration of its components, dorzolamide (Trusopt) twice daily and timolol (Timoptic) twice daily. METHODS: After a 2 week timolol run in, patients with open angle glaucoma or ocular hypertension were randomised (1:1) to receive treatment with either the dorzolamide/timolol combination solution twice daily (combination) or the dorzolamide solution twice daily plus timolol maleate solution twice daily (concomitant) for 3 months. RESULTS: 299 patients were entered and 290 patients completed the study. Compared with the timolol baseline, additional IOP lowering of 16% was observed at trough (hour 0) and 22% at peak (hour 2) at month 3 in both the concomitant and combination groups. The IOP lowering effects of the two treatment groups were clinically and statistically equivalent as demonstrated by the extremely small point differences (concomitant--combination) observed in this study--0.01 mm Hg at trough and 0.08 mm Hg at peak. The safety variables of the concomitant and combination groups were very similar. Both combination and concomitant therapy were well tolerated and few patients discontinued due to adverse effects. CONCLUSIONS: The dorzolamide/timolol combination solution administered twice daily is equivalent in efficacy and has a similar safety profile to the concomitant administration of the components administered twice daily. CAS Registry/EC Number/Name of Substance 0 (Antihypertensive Agents). 0 (Drug Combinations). 0 (Sulfonamides). 0 (Thiophenes). 130693-82-2 (dorzolamide). 26839-75-8 (Timolol)."
rzshah	463	"Boles Carenini,B.;Brogliatti,B.;Dorigo,M. T.;Vadala,G.;Protti,R.;Bellone,A."	Prepared association of metipranolol 0.1% + Pilocarpine 2% and of timolol 0.5% + Pilocarpine 2%. Comparison of clinical efficacy and topical tolerability in the treatment of patients affected by poag tonometrically uncontrolled with beta-blocker alone (two-centre study)	Acta Ophthalmologica Scandinavica Supplement	 	1997	 	224	54	55	 
rzshah	2823	"Netland,P. A.;Landry,T.;Sullivan,E. K.;Andrew,R.;Silver,L.;Weiner,A.;Mallick,S.;Dickerson,J.;Bergamini,M. V.;Robertson,S. M.;Davis,A. A.;Travoprost Study Group"	Travoprost compared with latanoprost and timolol in patients with open-angle glaucoma or ocular hypertension.[See comment]	American Journal of Ophthalmology	Am.J.Ophthalmol.	2001	132	4	472	484	"PURPOSE: This study evaluated the safety and intraocular pressure-lowering efficacy of two concentrations of travoprost (0.0015% and 0.004%) compared with latanoprost 0.005% and timolol 0.5% in patients with open-angle glaucoma or ocular hypertension. METHODS: Eight hundred one patients with open-angle glaucoma or ocular hypertension were randomly assigned to travoprost 0.0015%, travoprost 0.004%, latanoprost 0.005%, or timolol 0.5%. The efficacy and safety of travoprost (0.0015% and 0.004%) daily was compared with latanoprost daily and timolol twice daily for a period of 12 months. RESULTS: Travoprost was equal or superior to latanoprost and superior to timolol with mean intraocular pressure over visits and time of day ranging from 17.9 to 19.1 mm Hg (travoprost 0.0015%), 17.7 to 19.1 mm Hg (travoprost 0.004%), 18.5 to 19.2 mm Hg (latanoprost), and 19.4 to 20.3 mm Hg (timolol). For all visits pooled, the mean intraocular pressure at 4 PM for travoprost was 0.7 mm Hg (0.0015%, P =.0502) and 0.8 mm Hg (0.004%, P =.0191) lower than for latanoprost. Travoprost 0.004% was more effective than latanoprost and timolol in reducing intraocular pressure in black patients by up to 2.4 mm Hg (versus latanoprost) and 4.6 mm Hg (versus timolol). Based on a criterion of 30% or greater intraocular pressure reduction from diurnal baseline or intraocular pressure 17 mm Hg or less, travoprost 0.0015% and 0.004% had an overall response to treatment of 49.3% and 54.7%, respectively, compared with 49.6% for latanoprost and 39.0% for timolol. Iris pigmentation change was observed in 10 of 201 of patients (5.0%) receiving travoprost 0.0015%, six of 196 of patients (3.1%) receiving travoprost 0.004%, 10 of 194 of patients (5.2%) receiving latanoprost, and none of the patients receiving timolol (0 of 196). The average ocular hyperemia score was less than 1 on a scale of 0 to 3, indicating that on average patients experienced between none/trace and mild for all treatment groups. There were no serious, unexpected, related adverse events reported for any therapy. CONCLUSIONS: Travoprost (0.0015% and 0.004%), a highly selective, potent prostaglandin F (FP) receptor agonist, is equal or superior to latanoprost and superior to timolol in lowering intraocular pressure in patients with open-angle glaucoma or ocular hypertension. In addition, travoprost 0.004% is significantly better than either latanoprost or timolol in lowering intraocular pressure in black patients. Travoprost is safe and generally well tolerated in the studied patient population. CAS Registry/EC Number/Name of Substance 0 (Antihypertensive Agents). 0 (Ophthalmic Solutions). 0 (Prodrugs). 0 (Prostaglandins F, Synthetic). 130209-82-4 (latanoprost). 157283-68-6 (travoprost). 26839-75-8 (Timolol). 40665-92-7 (Cloprostenol)."
rzshah	3738	"Soderstrom,M. B.;Wallin,O.;Granstrom,P. A.;Thorburn,W."	Timolol-pilocarpine combined vs timolol and pilocarpine given separately.[See comment]	American Journal of Ophthalmology	Am.J.Ophthalmol.	1989	107	5	465	470	"In a controlled, double-observer, multicenter study, we compared the effect of a fixed combination of timolol 0.5%-pilocarpine 4% twice a day with that of timolol 0.5% twice a day plus pilocarpine 4% three times a day in 80 patients with open-angle glaucoma whose intraocular pressure was greater than 21 mm Hg on timolol 0.5% twice a day alone. Administered twice daily, the combination drug lowered intraocular pressure as effectively as concomitant treatment with timolol twice a day and pilocarpine three times a day. No statistically significant differences in reduction of intraocular pressure were found between the two groups nor were any unexpected side effects observed. CAS Registry/EC Number/Name of Substance 0 (Ophthalmic Solutions). 26839-75-8 (Timolol). 92-13-7 (Pilocarpine)."
rzshah	2087	"Konstas,A. G.;Mikropoulos,D.;Kaltsos,K.;Jenkins,J. N.;Stewart,W. C."	24-hour intraocular pressure control obtained with evening- versus morning-dosed travoprost in primary open-angle glaucoma	Ophthalmology	Ophthalmology	2006	113	3	446	450	"PURPOSE: To evaluate the quality of 24-hour intraocular pressure (IOP) control between morning- and evening-dosed travoprost in primary open-angle glaucoma patients. DESIGN: Prospective, crossover, double-masked comparison. METHODS: After a 6-week medicine-free period, 33 patients were randomized to receive travoprost dosed in the morning or evening. After 8 weeks of treatment, a 24-hour IOP curve was performed at 6 am, 10 am, 2 pm, 6 pm, 10 pm, and 2 am. Patients were then treated with the opposite dosing regimen for another 8 weeks, after which the 24-hour IOP curve was repeated. MAIN OUTCOME MEASURES: Twenty-four-hour IOP. RESULTS: The untreated mean 24-hour IOP was 23.6+/-2.0 mmHg. There were no differences for mean 24-hour IOP between the morning (17.5+/-1.9 mmHg) and evening (17.3+/-1.9 mmHg) dosings (P = 0.7). At 10 am, the evening dosing provided a statistically lower IOP (17.2+/-2.1 mmHg) than the morning dosing (19.1+/-2.5 mmHg) (P = 0.02). Evening dosing demonstrated a statistically lower 24-hour fluctuation of IOP (3.2+/-1.0 mmHg) than morning dosing (4.0+/-1.5 mmHg) (P = 0.01). Safety was similar, with conjunctival hyperemia being the most common adverse event (n = 9 [27% for morning dosing] and n = 11 [33% for evening dosing], P = 0.6). CONCLUSIONS: This study suggests that both morning and evening dosings of travoprost provide effective 24-hour IOP reduction. However, the evening dosing of travoprost demonstrates slightly greater daytime efficacy, with a narrower range of 24-hour pressure. CAS Registry/EC Number/Name of Substance 157283-68-6 (travoprost). 40665-92-7 (Cloprostenol)."
rzshah	8063	"Chauhan,B. C.;Drance,S. M.;Douglas,G. R."	The effect of long-term intraocular pressure reduction on the differential light sensitivity in glaucoma suspects	Investigative Ophthalmology and Visual Science	Invest.Ophthalmol.Visual Sci.	1988	29	10	1478	1485	"This study was undertaken to observe the effect on the differential light sensitivity in glaucoma suspects produced by a long-term reduction in intraocular pressure (IOP) with timolol maleate. The results are taken from an ongoing 6 year follow-up study of glaucoma suspects randomly selected for treatment and nontreatment. We present fine-grid meridional data, recorded every 4 months by automated perimetry, of all 46 patients (24 treated and 22 untreated) who completed the 6 year follow-up without developing localized visual field defects, acquired optis disc changes and whose IOP was not judged clinically dangerous during the follow-up. Methods of analyzing the profile sensitivity, the profile slope and the sensitivity of specific locations over the follow-up are described. The results show that the long-term fluctuation in differential light sensitivity in the two groups was not significantly different (P = 0.395) and that the sensitivity at most of the locations remained stable. The number of stable locations was not significantly different in the two groups (P = 0.412) and there was also no difference in the number of locations where the sensitivity appeared to decrease (P = 0.193) or increase (P = 0.540). Analysis of covariance showed no group difference in the profile sensitivity or the profile slope and that these variables remained stable in both groups over the 6 year period. Although the treated group maintained a consistently lower IOP than the untreated controls, our results showed that long-term pressure reduction with timolol in glaucoma suspects appeared not to influence the differential light sensitivity in the tested meridian."
rzshah	4162	"Varma,R.;Hwang,L. J.;Grunden,J. W.;Bean,G. W."	Inter-visit intraocular pressure range: an alternative parameter for assessing intraocular pressure control in clinical trials	American Journal of Ophthalmology	Am.J.Ophthalmol.	2008	145	2	336	342	"PURPOSE: To evaluate whether inter-visit intraocular pressure (IOP) range, which reflects extreme and potentially damaging IOP fluctuations, provides additional information on IOP control compared to mean IOP. DESIGN: Post hoc analysis of Xalatan/Lumigan/Travatan study data, a masked-evaluator, randomized, parallel-group comparison of 12-week efficacy of latanoprost, bimatoprost, and travoprost in open-angle glaucoma/ocular hypertension patients. METHODS: Pretreatment inter-visit IOP range defined as highest IOP minus lowest IOP at screening, safety check, and baseline (six measurements); posttreatment inter-visit IOP range defined as highest IOP minus lowest IOP at weeks two, six, and 12 or early termination (nine measurements). Ranges dichotomized as ""high"" (>6 mm Hg) vs ""low"" (< or =6 mm Hg). RESULTS: Included were 410 patients (latanoprost, 136; bimatoprost, 136; travoprost, 138). Each resulted in significant mean IOP range reductions during 12 weeks. Pretreatment inter-visit IOP range was associated with African-American race, male gender, and presence of visual field defect (P < .05 for all). Percentages with high pretreatment inter-visit IOP ranges were comparable across treatments (63% to 64%). High posttreatment inter-visit IOP range was seen in 21% (28/136), 28% (38/136), and 36% (50/138) of latanoprost, bimatoprost, and travoprost groups, respectively (P = .016, overall; P = .005, latanoprost vs travoprost). High posttreatment inter-visit IOP range was associated with African-American race, high pretreatment inter-visit IOP range, and treatment with travoprost vs latanoprost (P < .05 for all). CONCLUSIONS: Given that high inter-visit IOP range is associated with risk factors for glaucomatous damage and that such differences cannot be evaluated using mean IOPs, inter-visit IOP range may be another useful approach to assessing IOP control in clinical trials. CAS Registry/EC Number/Name of Substance 0 (Amides). 0 (Antihypertensive Agents). 0 (Lipids). 0 (Ophthalmic Solutions). 0 (Prostaglandins F, Synthetic). 0 (bimatoprost). 130209-82-4 (latanoprost). 157283-68-6 (travoprost). 40665-92-7 (Cloprostenol)."
rzshah	4329	"Whitson,J. T.;Ochsner,K. I.;Moster,M. R.;Sullivan,E. K.;Andrew,R. M.;Silver,L. H.;Wells,D. T.;James,J. E.;Bosworth,C. F.;Dickerson,J. E.;Landry,T. A.;Bergamini,M. V.;Brimonidine,0.;15% Study Group"	The safety and intraocular pressure-lowering efficacy of brimonidine tartrate 0.15% Preserved with polyquaternium-1	Ophthalmology	Ophthalmology	2006	113	8	1333	1339	"PURPOSE: The safety and intraocular pressure (IOP)-lowering efficacy of brimonidine tartrate 0.15% preserved with polyquaternium-1 were evaluated and compared with brimonidine tartrate 0.15% preserved with chlorine dioxide in patients with open-angle glaucoma (OAG) or ocular hypertension (OHT). DESIGN: Randomized, double-masked, parallel group, multicenter equivalence study. PARTICIPANTS: Eight hundred forty-two patients randomized to the study treatments. METHODS: Patients with OAG or OHT and with qualifying IOP (22-36 mmHg at 8 am on 2 eligibility visits after an appropriate washout period from previous treatment) were assigned randomly to either brimonidine tartrate 0.15% preserved with polyquaternium-1 (brimonidine PQ) or brimonidine tartrate 0.15% preserved with chlorine dioxide (brimonidine P) dosed 3 times daily and were followed up for 6 months. Approximately one half of the study sites continued to follow up their patients for an additional 6 months to obtain longer-term safety data. RESULTS: Brimonidine PQ produced statistically significant and clinically relevant reductions from baseline ranging from 4.3 to 6.5 mmHg, which were statistically and clinically equivalent to brimonidine P at all 18 visit days and times. No safety concerns were identified based on an assessment of ocular and cardiovascular parameters. Patient discontinuations resulting from adverse events were similar for both groups and most of these were a result of signs or symptoms of ocular allergic reaction. CONCLUSIONS: Brimonidine PQ is equivalent in IOP-lowering efficacy and safety to brimonidine P. CAS Registry/EC Number/Name of Substance 0 (Adrenergic alpha-Agonists). 0 (Chlorine Compounds). 0 (Drug Combinations). 0 (Oxides). 0 (Polymers). 0 (Preservatives, Pharmaceutical). 0 (Quinoxalines). 10049-04-4 (chlorine dioxide). 59803-98-4 (brimonidine). 75345-27-6 (polyquaternium 1)."
rzshah	648	"Charap,A. D.;Shin,D. H.;Petursson,G.;Cinotti,D.;Wortham,E. 4th;Brown,R. H.;Silverstone,D. E.;Atkins,J. M.;Eto,C. Y.;Lue,J. C. ////"	Effect of varying drop size on the efficacy and safety of a topical beta blocker	Annals of Ophthalmology	Ann.Ophthalmol.	1989	21	9	351	357	"We studied the effects on efficacy and safety of varying the drop size of a topical solution of levobunolol 0.5%. In a double-masked, crossover acute study, we administered a single drop of either 35 microL of vehicle, or 20, 35, or 50 microL of levobunolol one hour before the subjects began a ten-minute treadmill challenge electrocardiogram. After exercise the mean heart rate was 111 beats per minute (bpm) in the vehicle group and 102 to 103 bpm in the three levobunolol groups, which were significantly different from the control group but not from each other. In a randomized double-masked, parallel, chronic study, 117 patients with elevated intraocular pressure (IOP) instilled one of the three drop sizes of levobunolol twice daily for three months. Mean decreases in IOP ranged from 5.1 to 6.0 mmHg in the three groups, not significantly different from each other in mean IOP, heart rate, or blood pressure. We conclude that drop size in the range tested had no clinically significant effect on either efficacy or safety of a beta blocker such as levobunolol. CAS Registry/EC Number/Name of Substance 0 (Dosage Forms). 47141-42-4 (Levobunolol)."
rzshah	8280	"Kim,C. Y.;Hong,S.;Seong,G. J."	Brimonidine 0.2% versus brimonidine purite 0.15% in Asian ocular hypertension	Journal of Ocular Pharmacology and Therapeutics	 	2007	23	5	481	486	"Purpose: The aim of this study was to evaluate the efficacy and safety of brimonidine 0.2% versus brimonidine Purite 0.15% in Asians with ocular hypertension. Methods: This study was a prospective, randomized, observer-masked, short-term crossover trial. Eighty-six (86) Asian subjects with newly diagnosed ocular hypertension were randomly assigned to receive either brimonidine 0.2% or brimonidine Purite 0.15%, both dosed twice a day for 4 weeks. Subjects were then washed out for 6 weeks and switched to the opposite treatment for 4 weeks. Results: The baseline intraocular pressure (IOP) was 24.4 +/- 2.45 mmHg for brimonidine 0.2% and 24.39 +/- 2.56 mmHg for brimonidine Purite 0.15% (P = 0.985). The IOP was at trough drug effect after 4 weeks of brimonidine 0.2% and brimonidine Purite 0.15% therapy were 20.10 +/- 2.01 mmHg and 21.00 +/- 1.67 mmHg (P = 0.001), respectively. The IOP at peak drug effect after 4 weeks of brimonidine 0.2% and brimonidine Purite 0.15% treatment were 18.10 +/- 1.73 mmHg and 18.20 +/- 1.71 mmHg (P = 0.518), respectively. Brimonidine 0.2% was found to cause more allergic conjunctivitis than brimonidine Purite 0.15% (P < 0.001). Conclusions: Brimonidine 0.2% has a higher potency of lowering IOP than brimonidine Purite 0.15% at trough when used twice-daily. However, ocular allergic reaction was more frequent and severe with brimonidine 0.2% than with brimonidine Purite 0.15%. copyright 2007 Mary Ann Liebert, Inc."
rzshah	4092	"Tsukamoto,H.;Mishima,H. K.;Kitazawa,Y.;Araie,M.;Abe,H.;Negi,A.;Glaucoma Study Group"	A comparative clinical study of latanoprost and isopropyl unoprostone in japanese patients with primary open-angle glaucoma and ocular hypertension	Journal of glaucoma	J.Glaucoma	2002	11	6	497	501	"PURPOSE: To compare the efficacy and safety of latanoprost versus isopropyl unoprostone (unoprostone) in Japanese patients with primary open-angle glaucoma (POAG) or ocular hypertension (OH). METHODS: An 8-week, multicenter, randomized, comparative study was performed in 48 Japanese patients with POAG or OH. Four patients (two in each group) withdrew from the study, but their data were included in the safety assessment but not in the intraocular pressure (IOP) evaluation. The patients were randomly treated with latanoprost 0.005% once daily or unoprostone 0.12% twice daily for 8 weeks. IOP was measured at baseline and 2, 4, and 8 weeks after treatment. In addition, ocular and systemic adverse events were recorded. RESULTS: The baseline IOPs were similar between the latanoprost (n = 25) and unoprostone (n = 19) groups (24.3 +/- 2.4 mm Hg vs 23.3 +/- 2.1 mm Hg, respectively, = 0.18). The IOP reductions from baseline at 2, 4, and 8 weeks after treatment were 5.8 +/- 2.4, 6.6 +/- 2.5, and 6.7 +/- 2.0 mm Hg in the latanoprost group, and 3.8 +/- 2.0, 3.5 +/- 2.3, and 3.3 +/- 3.0 mm Hg in the unoprostone group, respectively. The IOP reduction in the latanoprost group at 8 weeks was larger than that in the unoprostone group ( < 0.001, analysis of covariance). Five adverse events were observed in 4 (15%) of 27 patients in the latanoprost group, and five adverse events were observed in 4 (20%) of 21 patients in the unoprostone group. There was no difference in the incidence of adverse events between groups ( = 0.71). CONCLUSION: Latanoprost produced a statistically greater reduction in IOP than unoprostone in Japanese patients with POAG or OH. CAS Registry/EC Number/Name of Substance 0 (Antihypertensive Agents). 0 (Ophthalmic Solutions). 0 (Prostaglandins F, Synthetic). 130209-82-4 (latanoprost). 551-11-1 (Dinoprost). 69553-75-9 (isopropyl unoprostone)."
rzshah	2984	"Orengo-Nania,S.;Landry,T.;Von Tress,M.;Silver,L. H.;Weiner,A.;Davis,A. A.;Travoprost Study Group"	Evaluation of travoprost as adjunctive therapy in patients with uncontrolled intraocular pressure while using timolol 0.5%	American Journal of Ophthalmology	Am.J.Ophthalmol.	2001	132	6	860	868	"PURPOSE: To evaluate the intraocular pressure-lowering efficacy and safety of travoprost 0.0015% and 0.004%, dosed daily in the evening compared with vehicle, in patients with open-angle glaucoma or ocular hypertension, whose intraocular pressure was not adequately controlled on timolol 0.5% twice daily (twice daily). METHODS: Subjects who qualified at screening began a run-in period dosing timolol twice daily for 3 weeks. If the subjects had an intraocular pressure of 24 to 36 mm Hg at 8 AM and 21 to 36 mm Hg at 10 AM and 4 pm in at least one eye on timolol, they were randomized to one of two concentrations of travoprost (0.0015% or 0.004%) or vehicle solution every day and were followed for 6 months. Four hundred twenty-six subjects were randomized. The mean intraocular pressure at 8 AM, 10 AM, and 4 PM in the patient's eye with the higher intraocular pressure was used for the analysis. RESULTS: Mean baseline values (25 mm Hg) for subjects at eligibility (while maintained on timolol) were not significantly different (P <.0001) among the treatment groups. The intraocular pressure was lowered an additional -5.7 to -7.2 mm Hg and -5.1 to -6.7 mm Hg in the travoprost 0.004% and 0.0015% concentrations, respectively. These changes were significantly (P < or =.0001) different from the vehicle group (-1.3 to -2.8 mm Hg). The intraocular pressure range on treatment at all visit times over the 6-month treatment period ranged from 17.9 to 19.2 mm Hg for travoprost 0.004% and 18.3 to 20.1 mm Hg for travoprost 0.0015% compared with 22.4 to 24.1 mm Hg for vehicle. Average hyperemia scores ranged from trace to mild (mean 0.5 on a scale of 0 = none/trace; 1= mild; 2 = moderate; 3 = severe) for all treatment groups. No iris pigmentation changes were observed in any patient during this study. There were no clinically or statistically significant changes from baseline in visual acuity, ocular cells and flare, fundus parameter, cup-to-disk ratio and visual field between the treatment groups. There were no serious adverse events reported for any treatment group. CONCLUSIONS: Travoprost produced clinically relevant and statistically significant additional intraocular pressure reductions from baseline when used adjunctively with timolol in subjects with open-angle glaucoma or ocular hypertension. CAS Registry/EC Number/Name of Substance 0 (Adrenergic beta-Antagonists). 0 (Antihypertensive Agents). 0 (Ophthalmic Solutions). 157283-68-6 (travoprost). 26839-75-8 (Timolol). 40665-92-7 (Cloprostenol)."
rzshah	126	"Alm,A.;Widengard,I."	Latanoprost: experience of 2-year treatment in scandinavia	Acta Ophthalmologica Scandinavica	Acta Ophthalmol.Scand.	2000	78	1	71	76	"PURPOSE: The aim of the study was to assess efficacy and side effects of latanoprost during two years of treatment. METHODS: The study was a randomized, parallel group, double-masked, multicenter comparison between latanoprost and timolol in patients with open angle glaucoma or ocular hypertension, followed by an open-label 18-month extension during which all patients were treated with latanoprost. RESULTS: Latanoprost caused a marked and sustained reduction of the intraocular pressure (IOP). IOP was reduced from baseline levels 25.1+/-3.5 mm Hg (mean+/-SD) in 183 patients initially randomized to treatment with latanoprost to 17.4+/-2.9 mm Hg (n=66) after 24 months of treatment. For patients initially randomized to treatment with timolol the corresponding figures were 24.3+/-2.3 mm Hg (n=72) and 17.4+/-2.6 (n=41) mm Hg after 18 months of treatment with latanoprost. Two patients were withdrawn because of uncontrolled IOP and 11 patients required additional timolol treatment to maintain an adequate IOP control. Patients initially treated with timolol and switched to latanoprost had a further reduction of the IOP of 1.0 mm Hg after 6 months of treatment with latanoprost (p<0.005). 46 patients were withdrawn from the study, mostly due to increased iris pigmentation or an iris color with known high risk of developing increased pigmentation. 22 patients developed increased pigmentation of the iris. The follow-up revealed no previously unknown ocular or systemic side effects. CONCLUSION: Once daily applications of latanoprost cause a marked and sustained reduction of the IOP. The only clinically significant side effect noted was the increased pigmentation of the iris, most frequently seen in irides with a mixture of brown and blue/gray or green colors. No systemic side effect was observed. CAS Registry/EC Number/Name of Substance 0 (Adrenergic beta-Antagonists). 0 (Antihypertensive Agents). 0 (Ophthalmic Solutions). 0 (Prostaglandins F, Synthetic). 130209-82-4 (latanoprost). 26839-75-8 (Timolol)."
rzshah	8421	"Ozdemir,M.;Ozdemir,G."	Comparison of the intraocular pressure lowering effect of latanoprost and carteolol-pilocarpine combination in newly diagnosed glaucoma	Japanese journal of ophthalmology	Jpn.J.Ophthalmol.	2003	47	1	72	76	"Purpose: To evaluate the comparative efficacy of latanoprost monotherapy versus combined carteolol and pilocarpine therapy in patients with newly diagnosed glaucoma. Methods: Masked randomized prospective trial. This study included 51 patients (64 eyes) with newly diagnosed glaucoma or ocular hypertension. The cases were randomly divided into two treatment groups for administration of latanoprost 0.005% once daily, or of carteolol 2% twice daily and pilocarpine 2% twice daily. Mean diurnal intraocular pressure (IOP) was measured at baseline, week 2, week 4, and month 3 after the beginning of treatment. Changes in mean IOP from baseline to the 3-month visit were determined by an analysis of variance. Results: Mean diurnal IOP values were 25.1 +/- 3.1 mm Hg and 25.5 +/- 2.5 mm Hg at baseline in the latanoprost monotherapy group and in the carteolol-plus-pilocarpine group, respectively. Diurnal IOP was significantly decreased from baseline to 3 months in both groups (P < .001). At this time point, latanoprost monotherapy had reduced mean diurnal IOP by 7.2 +/- 2.5 mm Hg (28.7%) and carteolol plus pilocarpine had reduced mean diurnal IOP by 7.4 +/- 2.7 mm Hg (29%). There was no difference between the groups in terms of their IOP reduction effect (P = .51). Decreased visual acuity and twilight vision, blurred vision, and headache were more frequent in the carteolol-plus-pilocarpine group than in the latanoprost group (P < .05). Conclusions: We concluded that latanoprost monotherapy was at least as effective as the carteolol-pilocarpine combination therapy in reducing mean diurnal IOP in newly diagnosed glaucoma or ocular hypertension. copyright 2003 Japanese Ophthalmological Society."
