internalid	sourceid	pubmedid_search	keywords	abstract	title	journal	authors	tags	J	trials	pubmedid	pdf	extractor	userID	assigned	done	comments
485610	16581541	16581541	"Dose-Response Relationship, Drug,Humans,*Mortality,Ozone/*toxicity,Risk Assessment,Urban Health"	"Time-series analyses have shown that ozone is associated with increased risk of premature mortality, but little is known about how O3 affects health at low concentrations. A critical scientific and policy question is whether a threshold level e"	The exposure-response curve for ozone and risk of mortality and the adequacy of current ozone regulations.	Environmental health perspectives	Bell ML and Peng RD and Dominici F		1	issa_tufts	16581541	pdf	amy	6	yes		
484786	16698809	16698809	"Adult,Aged,Aged, 80 and over,Air Pollutants/analysis/*toxicity,Air Pollution/*adverse effects,Arrhythmias, Cardiac/*epidemiology,Cohort Studies,Cross-Over Studies,*Defibrillators, Implantable,Female,Humans,Male,Middle Aged,Missouri/epidemiology"	BACKGROUND: It has previously been reported that the risk of ventricular arrhythmias is positively associated with ambient air pollution among patients with implantable cardioverter defibrillators (ICD) in Boston. AIMS: To assess the associatio	"Association of ventricular arrhythmias detected by implantable cardioverter defibrillator and ambient air pollutants in the St Louis, Missouri metropolitan area."	Occupational and environmental medicine	Rich DQ and Kim MH and Turner JR and Mittleman MA and Schwartz J and Catalano PJ and Dockery DW		1	issa_Tufts	16698809	pdf	amy	6	yes		
486277	16951756	16951756	"Air Pollution/*analysis,Allergens/*analysis,Environmental Exposure/*analysis,*Environmental Monitoring/methods/statistics & numerical data,Humans,Ohio,*Pollen,Sampling Studies,Selection Bias,Space-Time Clustering,Time Factors"	A time series model was fitted to the pollen concentration data collected in the Greater Cincinnati area for the Cincinnati Childhood Allergy and Air Pollution Study (CCAAPS). A traditional time series analysis and temporal variogram approach w	Estimating sampling frequency in pollen exposure assessment over time.	Journal of environmental monitoring : JEM	Luo J and Shukla R and Adhikari A and Reponen T and Grinshpun SA and Zhang Q and LeMasters GK		1	nira_tufts	16951756	pdf	amy	6	yes		
485252	17108895	17108895	"Aerosols/analysis/chemistry,Air Pollutants/analysis/*toxicity,Cardiovascular Diseases/etiology/*mortality,Cities,Environmental Exposure/*adverse effects/analysis,*Environmental Monitoring,Female,Germany,Humans,Inhalation Exposure/*adverse effec"	The link between elevated concentrations of ambient particulate matter (PM) and increased mortality has been investigated in numerous studies. Here we analyzed the role of different particle size fractions with respect to total and cardio-respi	"Daily mortality and particulate matter in different size classes in Erfurt, Germany."	Journal of exposure science & environmental epidemiology	Stolzel M and Breitner S and Cyrys J and Pitz M and Wolke G and Kreyling W and Heinrich J and Wichmann HE and Peters A		1	nira_tufts	17108895	pdf	amy	6	yes		
485231	17425638	17425638	"Air Pollution/*statistics & numerical data,*Data Interpretation, Statistical,Environmental Exposure/*statistics & numerical data,*Health Status Indicators,Humans,*Morals,Nonlinear Dynamics,Outcome Assessment (Health Care)/*methods,Risk Assessme"	"In this article a time-varying coefficient model is developed to examine the relationship between adverse health and short-term (acute) exposure to air pollution. This model allows the relative risk to evolve over time, which may be due to an i"	Time-varying coefficient models for the analysis of air pollution and health outcome data.	Biometrics	Lee D and Shaddick G		1	issa_tufts	17425638	pdf	amy	6	yes		
486070	17435447	17435447	"Aged,Cardiovascular Diseases/*epidemiology/mortality,Cold Temperature/adverse effects,Environmental Exposure/*adverse effects,Female,Hot Temperature/*adverse effects,Humans,Male,Mortality/*trends,*Seasons,United States/epidemiology"	BACKGROUND: Short-term changes in temperature have been associated with cardiovascular deaths. This study examines changes in this association over time among the US elderly. METHODS: Daily cardiovascular mortality counts from 107 cities in the	Temperature and cardiovascular deaths in the US elderly: changes over time.	"Epidemiology (Cambridge, Mass.)"	Barnett AG		1	issa_tufts	17435447	pdf	amy	6	yes		
484671	18854492	18854492	"Aged,Air Pollutants/*adverse effects,Air Pollution/adverse effects,Algorithms,Cardiovascular Diseases/*epidemiology/etiology,Data Interpretation, Statistical,Databases, Factual,Environmental Monitoring,Hospitalization/*statistics & numerical da"	The authors investigated whether short-term effects of fine particulate matter with an aerodynamic diameter < or =2.5 microm (PM(2.5)) on risk of cardiovascular and respiratory hospitalizations among the elderly varied by region and season in 2	"Seasonal and regional short-term effects of fine particles on hospital admissions in 202 US counties, 1999-2005."	American journal of epidemiology	Bell ML and Ebisu K and Peng RD and Walker J and Samet JM and Zeger SL and Dominici F		1	issa_tufts	18854492	pdf	amy	6	yes		
486358	19270795	19270795	"Adolescent,Adult,Aged,Air Pollution/*adverse effects,Cardiovascular Diseases/mortality,Child,Child, Preschool,Female,Hospitalization/statistics & numerical data,Humans,Infant,Infant, Newborn,Influenza, Human/*epidemiology/physiopathology,Male,M"	"BACKGROUND: Both influenza viruses and air pollutants have been well documented as major hazards to human health, but few epidemiologic studies have assessed effect modification of influenza on health effects of ambient air pollutants. OBJECTIV"	Modification by influenza on health effects of air pollution in Hong Kong.	Environmental health perspectives	Wong CM and Yang L and Thach TQ and Chau PY and Chan KP and Thomas GN and Lam TH and Wong TW and Hedley AJ and Peiris JS		1	issa_tufts	19270795	pdf	amy	6	yes		
485953	19394595	19394595	"California/epidemiology,Cause of Death,*Environmental Exposure,Heat Stress Disorders/*mortality,Humans,Sensitivity and Specificity"	"OBJECTIVE: As a result of the California heat wave in July 2006, county coroners reported that the high temperatures during that period caused approximately 147 deaths. However, heat wave-related deaths are likely to be underreported due to a l"	Estimating the mortality effect of the July 2006 California heat wave.	Environmental research	Ostro BD and Roth LA and Green RS and Basu R		1	nira_tufts	19394595	pdf	amy	6	yes		
484872	19852550	19852550	"Aged,Air Pollution/*adverse effects,Cross-Over Studies,Female,Hospitalization/trends,Humans,Inhalation Exposure/adverse effects,Male,Middle Aged,Particulate Matter/poisoning,Patient Admission/*trends,Pneumonia/chemically induced/*diagnosis/*epi"	"Recent studies have shown that air pollution is a risk factor for hospitalization for pneumonia. However, there is limited evidence to suggest what subpopulations are at greater risk from air pollution. This study was undertaken to examine the "	Air pollution and hospital admissions for pneumonia: are there potentially sensitive groups?	Inhalation toxicology	Cheng MF and Tsai SS and Chiu HF and Sung FC and Wu TN and Yang CY		1	issa_Tufts	19852550	pdf	amy	6	yes		
484656	20060145	20060145	"Age Factors,Aged,Air Pollution/*adverse effects/analysis,Cardiovascular Diseases/epidemiology/*etiology,Environmental Monitoring,Hospitals, University,Humans,Longitudinal Studies,Particle Size,Particulate Matter/*adverse effects/analysis,Patien"	OBJECTIVES: This study sought to analyse the effect of daily mean concentrations of fine particulate matter (diameter <2.5 microm; PM(2.5)) on hospital admissions due to circulatory and respiratory causes among an elderly population (>75 years)	"Short-term effect of concentrations of fine particulate matter on hospital admissions due to cardiovascular and respiratory causes among the over-75 age group in Madrid, Spain."	Public health	Linares C and Diaz J		1	issa_tufts	20060145	pdf	amy	6	yes		
485755	20702540	20702540	"Adult,Aged,Air Pollutants/analysis/*toxicity,Brain Ischemia/*chemically induced/epidemiology,Case-Control Studies,Cross-Over Studies,Diabetic Angiopathies/epidemiology,Environmental Exposure/*adverse effects/analysis,Female,France/epidemiology,"	"OBJECTIVES: To confirm the effects of short-term exposure to ozone (O(3)) on ischaemic heart and cerebrovascular disease. METHODS: Daily levels of urban O(3) pollution, the incidence of first-ever, recurrent, fatal and non-fatal ischaemic cereb"	Evidence of the role of short-term exposure to ozone on ischaemic cerebral and cardiac events: the Dijon Vascular Project (DIVA).	Heart (British Cardiac Society)	Henrotin JB and Zeller M and Lorgis L and Cottin Y and Giroud M and Bejot Y		1	nira_tufts	20702540	pdf	amy	6	yes		
484669	20724286	20724286	"Air Pollutants/*toxicity,Cause of Death/trends,Cities/*epidemiology,Cross-Over Studies,Environmental Exposure/adverse effects,Female,Humans,Infant Mortality/*trends,Infant, Newborn,Logistic Models,Male,Mexico/epidemiology,Ozone/*toxicity,*Parti"	INTRODUCTION: Consistent evidence has shown a positive association between air pollution and daily mortality among adults. Less is known about its effect on infant mortality and the modification of this association by socioeconomic status (SES)	"Effect of PM(10) and O(3) on infant mortality among residents in the Mexico City Metropolitan Area: a case-crossover analysis, 1997-2005."	Journal of epidemiology and community health	Carbajal-Arroyo L and Miranda-Soberanis V and Medina-Ramon M and Rojas-Bracho L and Tzintzun G and Solis-Gutierrez P and Mendez-Ramirez I and Hurtado-Diaz M and Schwartz J and Romieu I		1	nira_tufts	20724286	pdf	amy	6	yes		
484416	22205603	22205603	"Air Pollutants/*analysis,Air Pollution/*adverse effects,Ambulatory Care/statistics & numerical data,Conjunctivitis, Allergic/epidemiology/*etiology,Cross-Over Studies,Databases, Factual,Environmental Monitoring,Humans,Outpatients/*statistics & "	"PURPOSE: Past studies present evidence of associations between air pollution and human ocular symptoms; however, to the knowledge of the authors, research investigating the hazardous effects of air pollution on nonspecific conjunctivitis is non"	Relationship between air pollution and outpatient visits for nonspecific conjunctivitis.	Investigative ophthalmology & visual science	Chang CJ and Yang HH and Chang CA and Tsai HY		1	issa_Tufts	22205603	pdf	amy	6	yes		
486236	22395258	22395258	"Adult,Aged,Air Pollutants/*toxicity,Cross-Over Studies,Female,Humans,Male,Middle Aged,*Mortality,Republic of Korea/epidemiology"	"Air pollution's mortality effects may differ by subpopulation; however, few studies have investigated this issue in Asia. We investigated susceptibility to air pollutants on total, cardiovascular, and respiratory mortality in Seoul, Korea for t"	"Susceptibility to air pollution effects on mortality in Seoul, Korea: a case-crossover analysis of individual-level effect modifiers."	Journal of exposure science & environmental epidemiology	Son JY and Lee JT and Kim H and Yi O and Bell ML		1	issa_tufts	22395258	pdf	amy	6	yes		
485884	318518	318518	"Air Pollution,Asthma/mortality,*Environmental Exposure,*Epidemiologic Methods,Humans,New York,Probability,Seasons,Time Factors"	We present a method we developed to overcome some of the problems that are encountered in the attempts to identify acute health effects of environmental stimuli such as air pollution. To illustrate this method we have used daily records of asth	Time series analysis of morbidity data for assessment of acute environmental health effects.	Environmental research	Goldstein IF and Rausch LE		1	issa_tufts	318518	pdf	chris-parkin	15	yes		
484376	9709992	9709992	"Adolescent,Adult,Aged,Air Pollution/*analysis,Cardiovascular Diseases/mortality,Cause of Death,Child,Child, Preschool,Finland/epidemiology,Humans,Infant,Middle Aged,Mortality/*trends,Nitrogen Dioxide/*analysis,Ozone/*analysis,Regression Analysi"	"In Helsinki, Finland, from 1987 to 1993, the authors studied the associations between daily concentrations of sulphur dioxide, nitrogen dioxide, ozone, total suspended particulates, and particulates with aerodynamic diameters less than 10 micro"	Mortality and air pollution in Helsinki.	Archives of environmental health	Ponka A and Savela M and Virtanen M		1	issa_HARVARD	9709992	pdf	chris-parkin	15	yes		
484303	10351917	10351917	"Adult,Air Pollution/adverse effects,Asthma/*physiopathology/*therapy,*Emergency Medical Services/statistics & numerical data,Female,Forecasting,Humans,Male,New York City,Ozone/*adverse effects,Regression Analysis,Smoking/*adverse effects,Time F"	The association between ambient ozone (O3) and hospital use for asthma in children and adults is well documented. The question remains of whether there are susceptible subpopulations of asthmatic individuals who are particularly vulnerable to h	Cigarette smoking and ozone-associated emergency department use for asthma by adults in New York City.	American journal of respiratory and critical care medicine	Cassino C and Ito K and Bader I and Ciotoli C and Thurston G and Reibman J		1	issa_HARVARD	10351917	pdf	chris-parkin	15	yes		
485957	12550084	12550084	"Adolescent,Adult,Air Pollutants/*adverse effects,Asthma/etiology/pathology/*therapy,Child,Child, Preschool,Emergency Service, Hospital/*utilization,Epidemiologic Studies,Female,Humans,Male,Medicaid/statistics & numerical data,Nitrogen Dioxide/*"	"We examined the effects of nitrogen dioxide (NO(2)), ozone (O(3)), particulate matter of <10 microm aerodynamic diameter (PM(10)), and sulfur dioxide (SO(2)) on asthmatics ages 5-34 years enrolled in Medicaid in Cincinnati, Cleveland, and Colum"	"Air pollution and emergency department visits for asthma among Ohio Medicaid recipients, 1991-1996."	Environmental research	Jaffe DH and Singer ME and Rimm AA		1	issa_Tufts	12550084	pdf	chris-parkin	15	yes		
485320	12631539	12631539	"Aged,Air Pollutants/*adverse effects/analysis,Carbon Monoxide/analysis,Confidence Intervals,Coronary Disease/complications,Female,Heart Arrest/*epidemiology/etiology,Humans,Incidence,Male,Middle Aged,Particle Size,Risk Factors,Sulfur Dioxide/an"	"The authors studied the association between incidence of primary cardiac arrest and daily measures of fine particulate matter (</=2.5 micro m) using a case-crossover study of 1,206 Washington State out-of-hospital cardiac arrests (1985-1994) am"	Exposure to ambient fine particulate matter and primary cardiac arrest among persons with and without clinically recognized heart disease.	American journal of epidemiology	Sullivan J and Ishikawa N and Sheppard L and Siscovick D and Checkoway H and Kaufman J		1	nira_tufts	12631539	pdf	chris-parkin	15	yes		
486354	12851115	12851115	"Air Pollution/*adverse effects,Carbon Monoxide/adverse effects/analysis,Cardiovascular Diseases/mortality,Cause of Death,Humans,*Mortality,Nitrogen Dioxide/adverse effects/analysis,Odds Ratio,Ozone/adverse effects/analysis,Respiration Disorders"	"Air pollution has been associated with daily mortality in numerous studies over the past decade. However, most of these studies were conducted in the United States and Europe, with relatively few done in Asia. In this study, the association bet"	"Relationship between air pollution and daily mortality in a tropical city: Kaohsiung, Taiwan."	Journal of toxicology and environmental health. Part A	Tsai SS and Huang CH and Goggins WB and Wu TN and Yang CY		1	issa_tufts	12851115	pdf	chris-parkin	15	yes		
485193	15014549	15014549	"Adolescent,Adult,Air Pollutants/*adverse effects,Asthma/epidemiology,Child,Digestive System Diseases/epidemiology,Emergency Service, Hospital/*utilization,Female,Humans,Hydrogen Sulfide/*adverse effects,Male,Models, Statistical,Nebraska/epidemi"	"This analysis examined associations between total reduced sulfur (TRS) and hydrogen sulfide (H(2)S) levels, and hospital visits for respiratory disease among residents of Dakota City and South Sioux City, Nebraska, from January 1998 to May 2000"	"Ambient hydrogen sulfide, total reduced sulfur, and hospital visits for respiratory diseases in northeast Nebraska, 1998-2000."	Journal of exposure analysis and environmental epidemiology	Campagna D and Kathman SJ and Pierson R and Inserra SG and Phifer BL and Middleton DC and Zarus GM and White MC		1	issa_Tufts	15014549	pdf	chris-parkin	15	yes		
484734	15699276	15699276	"Adult,Air Pollutants/analysis/*toxicity,Cross-Over Studies,Environmental Monitoring,Female,Humans,Logistic Models,Male,Middle Aged,Myocardial Infarction/*epidemiology,Nitrogen Dioxide/analysis,Ozone/analysis/*toxicity,Sulfur Dioxide/analysis"	"BACKGROUND: Despite the diversity of the studied health outcomes, types and levels of pollution, and various environmental settings, there is substantial evidence for a positive link between urban air pollution and cardiovascular diseases. The "	Ozone air pollution is associated with acute myocardial infarction.	Circulation	Ruidavets JB and Cournot M and Cassadou S and Giroux M and Meybeck M and Ferrieres J		1	issa_tufts	15699276	pdf	chris-parkin	15	yes		
485434	15961590	15961590	"Aged,Air Pollutants/*toxicity,Bayes Theorem,Female,Humans,Longitudinal Studies,Male,Middle Aged,Mortality/*trends,Regression Analysis,Research Design,Risk Assessment,*Seasons,Sensitivity and Specificity,United States/epidemiology,*Weather"	"Time-series studies have linked daily variations in nonaccidental deaths with daily variations in ambient particulate matter air pollution, while controlling for qualitatively larger influences of weather and season. Although time-series analys"	"Are the acute effects of particulate matter on mortality in the National Morbidity, Mortality, and Air Pollution Study the result of inadequate control for weather and season? A sensitivity analysis using flexible distributed lag models."	American journal of epidemiology	Welty LJ and Zeger SL		1	issa_Tufts	15961590	pdf	chris-parkin	15	yes		
485036	16079061	16079061	"Aerosols,Air Pollution/*adverse effects,Cardiovascular Diseases/epidemiology/*etiology/physiopathology,Cohort Studies,Cross-Sectional Studies,Dust,*Environmental Exposure,Humans,Particle Size,Vehicle Emissions"	"Numerous epidemiologic time-series studies have shown generally consistent associations of cardiovascular hospital admissions and mortality with outdoor air pollution, particularly mass concentrations of particulate matter (PM) < or = 2.5 or < "	Potential role of ultrafine particles in associations between airborne particle mass and cardiovascular health.	Environmental health perspectives	Delfino RJ and Sioutas C and Malik S		1	issa_tufts	16079061	pdf	chris-parkin	15	yes		
486375	16537350	16537350	"Aged,Air Pollutants/*adverse effects,Carbon Monoxide/adverse effects,Cardiovascular Diseases/*epidemiology,Female,Hospitalization/*statistics & numerical data,Humans,Male,Nitrogen Dioxide/adverse effects,Ozone/adverse effects,Smoke/adverse effe"	OBJECTIVE: To evaluate the short term effect of air pollution on cardiovascular admissions in 14 Spanish cities METHODS: The period under study was from 1995 to 1999. Daily emergency admissions for all cardiovascular diseases (CVD) and heart di	Air pollution and cardiovascular admissions association in Spain: results within the EMECAS project.	Journal of epidemiology and community health	Ballester F and Rodriguez P and Iniguez C and Saez M and Daponte A and Galan I and Taracido M and Arribas F and Bellido J and Cirarda FB and Canada A and Guillen JJ and Guillen-Grima F and Lopez E and Perez-Hoyos S and Lertxundi A and Toro S		1	issa_Tufts	16537350	pdf	chris-parkin	15	yes		
485075	18795163	18795163	"Aged,*Air Pollution,Asia/epidemiology,Dose-Response Relationship, Drug,Humans,Middle Aged,*Public Health"	"BACKGROUND AND OBJECTIVES: Although the deleterious effects of air pollution from fossil fuel combustion have been demonstrated in many Western nations, fewer studies have been conducted in Asia. The Public Health and Air Pollution in Asia (PAP"	Public Health and Air Pollution in Asia (PAPA): a multicity study of short-term effects of air pollution on mortality.	Environmental health perspectives	Wong CM and Vichit-Vadakan N and Kan H and Qian Z		1	issa_tufts	18795163	pdf	chris-parkin	15	yes		
485469	19277071	19277071	"Air Pollutants/*toxicity,Emergency Service, Hospital/utilization,*Environmental Exposure,Georgia,Humans,Poisson Distribution,Urban Health"	Relatively few studies have evaluated the effects of heterogeneous spatiotemporal pollutant distributions on health risk estimates in time-series analyses that use data from a central monitor to assign exposures. We present a method for examini	An examination of exposure measurement error from air pollutant spatial variability in time-series studies.	Journal of exposure science & environmental epidemiology	Sarnat SE and Klein M and Sarnat JA and Flanders WD and Waller LA and Mulholland JA and Russell AG and Tolbert PE		1	issa_Tufts	19277071	pdf	chris-parkin	15	yes		
484621	19440507	19440507	"Air Pollutants/*analysis/pharmacology,Asthma/chemically induced/*epidemiology,Canada/epidemiology,Child, Preschool,Environmental Monitoring,*Extraction and Processing Industry,Humans,*Inhalation Exposure,Models, Chemical,*Petroleum,Quebec/epide"	BACKGROUND: Little is known about the respiratory effects of short-term exposures to petroleum refinery emissions in young children. This study is an extension of an ecologic study that found an increased rate of hospitalizations for respirator	"Risk of asthmatic episodes in children exposed to sulfur dioxide stack emissions from a refinery point source in Montreal, Canada."	Environmental health perspectives	Smargiassi A and Kosatsky T and Hicks J and Plante C and Armstrong B and Villeneuve PJ and Goudreau S		1	nira_tufts	19440507	pdf	chris-parkin	15	yes		
485089	19749499	19749499	"China,*Circadian Rhythm,Coronary Disease/*mortality,Humans,Risk Factors,*Temperature"	"BACKGROUND: Although the relation between day-to-day temperature change and coronary heart disease (CHD) mortality is well established, it is unknown whether temperature variation within 1 day, ie, diurnal temperature range (DTR), is an indepen"	Diurnal temperature range is a risk factor for coronary heart disease death.	Journal of epidemiology / Japan Epidemiological Association	Cao J and Cheng Y and Zhao N and Song W and Jiang C and Chen R and Kan H		1	nira_tufts	19749499	pdf	chris-parkin	15	yes		
484558	19756042	19756042	"Air Pollutants/*analysis/toxicity,Air Pollution/adverse effects/*analysis,Carbon Monoxide/analysis,Emergency Service, Hospital/*statistics & numerical data,Environmental Monitoring/*methods,Georgia,Humans,Linear Models,Nitrogen Dioxide/analysis"	"Various temporal metrics of daily pollution levels have been used to examine the relationships between air pollutants and acute health outcomes. However, daily metrics of the same pollutant have rarely been systematically compared within a stud"	The use of alternative pollutant metrics in time-series studies of ambient air pollution and respiratory emergency department visits.	Journal of exposure science & environmental epidemiology	Darrow LA and Klein M and Sarnat JA and Mulholland JA and Strickland MJ and Sarnat SE and Russell AG and Tolbert PE		1	nira_tufts	19756042	pdf	chris-parkin	15	yes		
485665	20025755	20025755	"Aged,Air Pollution/adverse effects/*analysis,Cardiovascular Diseases/epidemiology,Diabetes Mellitus/epidemiology,Environmental Exposure/*adverse effects/analysis,*Hospitalization,Humans,Particulate Matter/*adverse effects/analysis,Respiratory T"	"BACKGROUND: Although the association between exposure to particulate matter and health is well established, there remains uncertainty as to whether certain chemical components are more harmful than others. We explored whether the association be"	Fine particulate air pollution and its components in association with cause-specific emergency admissions.	Environmental health : a global access science source	Zanobetti A and Franklin M and Koutrakis P and Schwartz J		1	nira_tufts	20025755	pdf	chris-parkin	15	yes		
484850	20163830	20163830	"Air Pollutants/*toxicity,Air Pollution/*adverse effects,Carbon Dioxide/toxicity,Cardiovascular Diseases/epidemiology/metabolism/*mortality/pathology,Cities/epidemiology,Environmental Exposure/*adverse effects,Humans,Nitrogen Oxides/toxicity,Par"	"In this study, the relationship between cardiovascular mortality and traffic-related air pollutants (NO(2), CO, PM(10), and six volatile organic compounds (VOCs), propane, iso-butane, propylene, benzene, meta-, para-, and ortho-xylenes) was inv"	Traffic-related air pollution and cardiovascular mortality in central Taiwan.	The Science of the total environment	Tsai DH and Wang JL and Chuang KJ and Chan CC		1	issa_tufts	20163830	pdf	chris-parkin	15	yes		
484745	20452673	20452673	"Adult,Aged,Air Pollutants/analysis,Air Pollution/*statistics & numerical data,Chile/epidemiology,Environmental Exposure/statistics & numerical data,Environmental Monitoring,Epilepsy/*epidemiology,Female,Hospitalization/*statistics & numerical d"	OBJECTIVE: To determine the association between gaseous and fine particulate air pollution (PM(2.5)) and epilepsy in a general population sample. METHOD: A daily time-series analyses tested the association between daily hospitalization for epil	Air pollution and hospitalization for epilepsy in Chile.	Environment international	Cakmak S and Dales RE and Vidal CB		1	issa_Tufts	20452673	pdf	chris-parkin	15	yes		
